0,the sunhammer proved to be the implement of the trow's destruction,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,6,implement,Lexical
1,it changed its name to the moline implement company to reflect this,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,7,implement,Lexical
2,he found employment with robinson bros implement makers of melbourne,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,6,implement,Lexical
3,speargun a speargun is an underwater fishing implement designed to fire a spear at fish,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,7,implement,Lexical
4,general george s patton called it the greatest implement of battle ever devised,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,8,implement,Lexical
5,an obstetrical implement known as a pince de bar an umbilical cord clamp is named after him,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,2,implement,Lexical
6,knives are also used as a traditional or religious implement such as the kirpan,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,9,implement,Lexical
7,farm implement and machinery review volume eighty part two obituaries,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,1,implement,Lexical
8,the implement is thrown using one hand only but otherwise using any technique,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,1,implement,Lexical
9,she becomes caretaker to her mother who is revealed as a morphine addict,"('nn', 'a - d i k t', [1, 0])", 0 @ - 1 d i k t ,12,addict,Morphosyntactic
10,her son becca's brother arthur a heroin addict hanged himself at the age of thirty,"('nn', 'a - d i k t', [1, 0])", 0 @ - 1 d i k t ,7,addict,Morphosyntactic
11,he also becomes a heroin addict due to the recurring back pain,"('nn', 'a - d i k t', [1, 0])", 0 @ - 1 d i k t ,5,addict,Morphosyntactic
12,there she meets another australian woman mandy engels joy smithers a heroin addict also imprisoned for drug trafficking,"('nn', 'a - d i k t', [1, 0])", 0 @ - 1 d i k t ,12,addict,Morphosyntactic
