0,when he was used to do a transplant he lived on as yuri babanin,"('nn', 't r a n s - p l aa n t', [1, 0])", 1 t r a n s - 3 p l aa n t ,7,transplant,Morphosyntactic
1,back at his lab walters and his assistant miss strand fay helm transplant glandular material from dorothy into cheela,"('vb', 't r a n s - p l aa n t', [0, 1])", 1 t r a n s - 0 p l aa n t ,12,transplant,Morphosyntactic
2,channel seven televised the first kidney transplant in the mid nineteen sixties,"('nn', 't r a n s - p l aa n t', [1, 0])", 1 t r a n s - 3 p l aa n t ,6,transplant,Morphosyntactic
3,out of those millions in the world sixteen thousand five hundred in the united states needed a kidney transplant in two thousand eight,"('nn', 't r a n s - p l aa n t', [1, 0])", 1 t r a n s - 3 p l aa n t ,18,transplant,Morphosyntactic
4,it is the first hospital in gujarat to have completed a heart transplant under the leadership of doctor dhiren shah,"('nn', 't r a n s - p l aa n t', [1, 0])", 1 t r a n s - 3 p l aa n t ,12,transplant,Morphosyntactic
5,samwell underwent a heart transplant in the nineteen nineties and died in sacramento california on the thirteenth of march two thousand three aged sixty six,"('nn', 't r a n s - p l aa n t', [1, 0])", 1 t r a n s - 3 p l aa n t ,4,transplant,Morphosyntactic
6,on christmas in two thousand nine ray received a stem cell transplant to treat her rare cancer,"('nn', 't r a n s - p l aa n t', [1, 0])", 0 t r a n s - 1 p l aa n t ,11,transplant,Morphosyntactic
7,women were subjected to transplant experiments including organs bones and nerves,"('nn', 't r a n s - p l aa n t', [1, 0])", 0 t r a n s - 1 p l aa n t ,4,transplant,Morphosyntactic
8,they also import spices from vietnam that cannot be found in hong kong but are vital for the dishes,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,2,import,Morphosyntactic
9,march first news that kuwait will need to import crude in the short term,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,8,import,Morphosyntactic
10,without the ability to import rice from china burma was forced to import rice from the british,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,4,import,Morphosyntactic
11,barnet preferred to use local materials wherever possible rather than import foreign materials,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,10,import,Morphosyntactic
